title,type,listed_in,release_year,similarity
Kakegurui,TV Show,"International TV Shows, TV Dramas, TV Thrillers",2019,0.5754966759909037
Til Death Do Us Part,TV Show,"International TV Shows, TV Dramas, TV Thrillers",2019,0.4963860302623219
Marseille,TV Show,"International TV Shows, TV Dramas, TV Thrillers",2018,0.4849321384001508
50M2,TV Show,"International TV Shows, TV Dramas, TV Thrillers",2021,0.4845256714615046
Nobel,TV Show,"International TV Shows, TV Dramas, TV Thrillers",2016,0.4841106647962481
Occupied,TV Show,"International TV Shows, TV Dramas, TV Thrillers",2019,0.4756164228576358
Children of Adam,TV Show,"International TV Shows, TV Dramas, TV Thrillers",2020,0.47436564431602846
The Spy,TV Show,"International TV Shows, TV Dramas, TV Thrillers",2019,0.4675793744487873
Gonul,TV Show,"International TV Shows, TV Dramas, TV Thrillers",2015,0.4582221865984535
Ozark,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",2020,0.4556716652400882
