title,type,listed_in,release_year,similarity
Nightflyers,TV Show,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",2018,0.6946823402442996
Helix,TV Show,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",2015,0.6553640590531031
Chilling Adventures of Sabrina,TV Show,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",2020,0.6226343238736385
Manifest,TV Show,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",2021,0.5899959493811028
The 4400,TV Show,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",2007,0.5598348063731875
The Vampire Diaries,TV Show,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",2016,0.5544749295239808
The Messengers,TV Show,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",2015,0.548589301062063
The OA,TV Show,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",2019,0.5319739892787583
Warrior Nun,TV Show,"TV Action & Adventure, TV Mysteries, TV Sci-Fi & Fantasy",2020,0.531752226764006
"Love, Death & Robots",TV Show,"TV Action & Adventure, TV Horror, TV Sci-Fi & Fantasy",2021,0.5169279149616582
