title,type,listed_in,release_year,similarity
"O-Negative, Love Can’t Be Designed",TV Show,"International TV Shows, Romantic TV Shows, TV Dramas",2016,0.6040297202983335
Eternal Love,TV Show,"International TV Shows, Romantic TV Shows, TV Dramas",2017,0.5905830226230995
In Laws,TV Show,"International TV Shows, Romantic TV Shows, TV Dramas",2016,0.5877938643766357
Familiar Wife,TV Show,"International TV Shows, Romantic TV Shows, TV Dramas",2018,0.5718978734019675
Iron Ladies,TV Show,"International TV Shows, Romantic TV Shows, TV Dramas",2018,0.5713143135449236
Hati Perempuan,TV Show,"International TV Shows, Romantic TV Shows, TV Dramas",2015,0.5632737661790157
The Could’ve-Gone-All-the-Way Committee,TV Show,"International TV Shows, Romantic TV Shows, TV Dramas",2018,0.5589315285846183
The Many Faces of Ito,TV Show,"International TV Shows, Romantic TV Shows, TV Dramas",2017,0.5569059832441196
The Rational Life,TV Show,"International TV Shows, Romantic TV Shows, TV Dramas",2021,0.5564228090587044
100 Days My Prince,TV Show,"International TV Shows, Romantic TV Shows, TV Dramas",2018,0.5560434704742004
