title,type,listed_in,release_year,similarity
Ghost Whispers,Movie,"Action & Adventure, Anime Features, International Movies",2013,0.5316668955754877
Girls und Panzer der Film,Movie,"Action & Adventure, Anime Features, International Movies",2015,0.5064550289550913
Ghost Tears,Movie,"Action & Adventure, Anime Features, International Movies",2014,0.4867100421063205
Naruto Shippûden the Movie: The Will of Fire,Movie,"Action & Adventure, Anime Features, International Movies",2009,0.48639140885161114
InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,"Action & Adventure, Anime Features, International Movies",2003,0.48363864296562664
Inuyasha the Movie - La spada del dominatore del mondo,Movie,"Action & Adventure, Anime Features, International Movies",2003,0.48363864296562664
Naruto the Movie: Ninja Clash in the Land of Snow,Movie,"Action & Adventure, Anime Features, International Movies",2004,0.4835425319421642
EVANGELION: DEATH (TRUE)²,Movie,"Action & Adventure, Anime Features, International Movies",1998,0.4796107340502835
Fate/Grand Order -First Order-,Movie,"Action & Adventure, Anime Features, International Movies",2016,0.4766020754972009
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Movie,"Action & Adventure, Anime Features, International Movies",2006,0.47430458312437823
